City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Sao Filipe,CV,75.9,broken clouds,14.9,-24.5,Hotel Xaguate
124,Kirakira,SB,82.54,broken clouds,-10.45,161.92,SanBiz Lodge
125,Los Llanos De Aridane,ES,71.13,clear sky,28.66,-17.92,Valle Aridane
126,Faanui,PF,78.64,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,Alvorada,BR,79.0,broken clouds,-12.48,-49.12,Cristal Plaza Hotel
129,Saint-Philippe,RE,71.19,light rain,-21.36,55.77,Le four à pain
135,Cururupu,BR,79.02,broken clouds,-1.83,-44.87,POUSADA TRAVÉS'CIA
141,Kieta,PG,81.0,overcast clouds,-6.22,155.63,Uruna Bay Retreat
143,Puerto Ayora,EC,80.56,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
144,Sarandi,BR,74.75,light rain,-23.44,-51.87,HOTEL GRALHA AZUL (GAPH) - Maringá
145,Namatanai,PG,80.42,overcast clouds,-3.67,152.43,Seagulls Inn Namatani
149,Bowen,AU,78.82,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
150,Karratha,AU,73.2,moderate rain,-20.74,116.85,ibis Styles Karratha
152,Harper,LR,77.58,light rain,4.38,-7.72,Screensaver
153,Padang,ID,74.23,overcast clouds,-0.95,100.35,Mercure Padang
155,Nargana,PA,80.69,moderate rain,9.44,-78.59,Dubbir
157,Humberto De Campos,BR,79.79,broken clouds,-2.6,-43.46,Pousada do Cabeça
164,Pilar,BR,78.73,scattered clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
167,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.17,Hotel California
172,Anloga,GH,81.84,few clouds,5.79,0.9,Pin Drop Hotel
188,Rodrigues Alves,BR,89.8,overcast clouds,-7.74,-72.65,Pousada Aconchego
189,West Bay,KY,87.08,scattered clouds,19.37,-81.42,Calypso Cove
190,Yeppoon,AU,73.18,clear sky,-23.13,150.73,Villa Mar Colina
192,Arraial Do Cabo,BR,84.16,clear sky,-22.97,-42.03,Pousada Porto Praia
193,Bambous Virieux,MU,73.65,broken clouds,-20.34,57.76,Casa Tia Villa
195,Galle,LK,74.3,overcast clouds,6.04,80.22,Amangalla
197,Kloulklubed,PW,75.7,overcast clouds,7.04,134.26,Storyboard Beach Resort
198,Cockburn Town,TC,82.36,scattered clouds,21.46,-71.14,Osprey Beach Hotel
199,Bo Phloi,TH,72.52,overcast clouds,14.32,99.52,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
203,Marsh Harbour,BS,79.02,clear sky,26.54,-77.06,Abaco Beach Resort
204,Sola,VU,80.8,clear sky,-13.88,167.55,Ulkel Guest House
208,Ndjole,GA,75.15,overcast clouds,-0.18,10.76,Motel Kédyann
209,Guerrero Negro,MX,71.17,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
211,Alugan,PH,81.03,overcast clouds,12.22,125.48,JM Lodge
216,Alyangula,AU,82.58,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
219,Japura,ID,73.6,heavy intensity rain,-0.32,102.35,Rumah mbah Jamah
222,Ghogha,IN,79.65,clear sky,21.68,72.28,hanumanji temple of bhankhal
223,Vao,NC,75.04,broken clouds,-22.67,167.48,Hotel Kou-Bugny
227,Salaga,GH,83.52,broken clouds,8.55,-0.52,Bore Nada Guest House
229,Nova Venecia,BR,79.29,overcast clouds,-18.71,-40.4,Hotel Ferrari - Rede Ferrari
238,Sao Domingos,BR,76.41,overcast clouds,-13.4,-46.32,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
241,Maceio,BR,80.04,few clouds,-9.67,-35.74,Mercure Maceio Pajucara
245,Porto Novo,BJ,82.22,clear sky,6.5,2.6,Tour Eiffel Hotel Benin
248,Zhenhai,CN,71.08,clear sky,24.26,118.09,In Zhijian Guesthouse
249,Mackay,AU,76.68,broken clouds,-21.15,149.2,International Lodge Motel
252,Nacala,MZ,76.1,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
