City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Bend,US,44.06,-121.32,42.6,83,17,3.0,few clouds
235,Trabzon,TR,40.92,39.83,51.89,82,75,0.0,broken clouds
236,Batagay-Alyta,RU,67.8,130.41,-20.29,96,82,4.5,broken clouds
237,Sheridan,US,44.83,-106.92,32.02,85,100,24.16,haze
238,Sao Domingos,BR,-13.4,-46.32,76.41,70,100,4.81,overcast clouds
239,Sulmona,IT,42.05,13.93,52.43,87,8,2.84,clear sky
240,Beringovskiy,RU,63.05,179.32,29.34,84,25,13.96,scattered clouds
241,Maceio,BR,-9.67,-35.74,80.04,78,20,14.97,few clouds
242,Maniitsoq,GL,65.42,-52.9,27.57,94,100,21.81,light snow
243,Borovskoy,KZ,53.8,64.15,29.57,92,100,15.17,overcast clouds
244,Madimba,TZ,-10.4,40.33,76.77,84,14,8.39,few clouds
245,Porto Novo,BJ,6.5,2.6,82.22,81,2,6.33,clear sky
246,Norman Wells,CA,65.28,-126.83,14.04,85,75,9.22,broken clouds
247,Miles City,US,46.41,-105.84,27.57,86,100,19.57,overcast clouds
248,Zhenhai,CN,24.26,118.09,71.08,85,3,9.06,clear sky
249,Mackay,AU,-21.15,149.2,76.68,77,62,6.53,broken clouds
250,Mushie,CD,-3.02,16.9,72.95,90,100,3.04,overcast clouds
251,Broken Hill,AU,-31.95,141.43,52.61,71,36,13.2,scattered clouds
252,Nacala,MZ,-14.54,40.67,76.1,86,1,6.85,clear sky
253,Poronaysk,RU,49.22,143.12,25.95,66,99,3.42,overcast clouds
254,Ada,US,43.42,-116.13,37.87,68,0,4.61,clear sky
255,Ivaipora,BR,-24.25,-51.68,70.86,85,100,6.06,light rain
256,Mukhen,RU,48.1,136.1,24.28,53,89,4.25,overcast clouds
257,Buala,SB,-8.14,159.59,82.17,71,56,3.69,broken clouds
258,Lata,PT,40.16,-8.33,59.07,96,100,5.06,overcast clouds
259,Dunedin,NZ,-45.87,170.5,60.8,75,98,8.01,overcast clouds
260,Strelka,RU,58.07,93.03,27.01,97,100,6.04,light snow
261,Yagodnoye,RU,62.55,149.67,-22.92,98,98,3.04,overcast clouds
262,Chokurdakh,RU,70.63,147.92,-15.43,98,100,10.33,overcast clouds
263,Edirne,TR,41.68,26.56,48.43,74,100,4.85,overcast clouds
264,Udankudi,IN,8.43,78.02,77.63,79,100,5.35,moderate rain
265,Lompoc,US,34.64,-120.46,69.94,42,0,9.22,clear sky
266,Quito,EC,-0.23,-78.52,61.75,88,100,3.13,light rain
267,Dudinka,RU,69.41,86.18,-31.86,99,23,2.51,few clouds
268,Anadyr,RU,64.75,177.48,27.1,86,0,15.66,clear sky
269,San Luis,AR,-33.3,-66.34,77.79,21,0,3.56,clear sky
270,Otautau,NZ,-46.15,168.0,58.44,63,98,3.85,overcast clouds
271,Owando,CG,-0.48,15.9,75.07,82,100,2.64,overcast clouds
272,Walvis Bay,NA,-22.96,14.51,61.75,88,0,2.3,clear sky
273,Tanabi,BR,-20.63,-49.65,88.02,42,85,8.41,overcast clouds
274,Tonk,IN,26.17,75.78,69.35,37,0,5.48,clear sky
275,Khuzhir,RU,53.19,107.34,36.37,66,99,14.99,overcast clouds
276,Havre-Saint-Pierre,CA,50.23,-63.6,26.6,80,100,18.41,light snow
277,Victoria,HK,22.29,114.16,75.38,81,100,5.99,overcast clouds
278,Clyde River,CA,70.47,-68.59,-5.57,84,0,13.8,clear sky
279,Belaya Gora,RU,68.53,146.42,-30.21,98,82,4.32,broken clouds
280,Upernavik,GL,72.79,-56.15,21.99,91,100,20.24,light snow
281,Demirci,TR,39.05,28.66,43.16,67,8,6.91,clear sky
282,Broome,US,42.25,-75.83,37.45,70,100,6.91,overcast clouds
283,Nikolskoye,RU,59.7,30.79,33.8,98,100,5.46,snow
284,Mangrol,IN,21.12,70.12,76.24,57,0,5.39,clear sky
285,Hithadhoo,MV,-0.6,73.08,81.57,79,100,16.53,overcast clouds
286,Saint Anthony,US,45.02,-93.22,30.65,88,100,11.5,overcast clouds
287,Whitehaven,GB,54.55,-3.58,50.65,100,92,7.0,overcast clouds
288,Tambovka,RU,50.1,128.05,9.86,98,94,2.53,overcast clouds
289,Bondoukou,CI,8.03,-2.8,76.68,67,100,2.04,overcast clouds
290,Mayor Pablo Lagerenza,PY,-19.93,-60.77,90.5,38,44,4.16,scattered clouds
291,Gushikawa,JP,26.35,127.87,70.83,76,100,6.91,overcast clouds
292,Vila Velha,BR,-20.33,-40.29,78.75,88,75,20.71,broken clouds
293,Kualakapuas,ID,-3.01,114.39,74.71,96,100,1.28,overcast clouds
294,Ponta Delgada,PT,37.73,-25.67,67.5,94,75,11.5,broken clouds
295,Caravelas,BR,-17.71,-39.25,76.95,87,10,10.78,clear sky
